site,subsite,density_trt,operc_length_mm,date_photo
RT,RT3,H,1.86,7/10/2018
RT,RT3,H,1.946,7/10/2018
RT,RT3,H,1.582,7/10/2018
RT,RT3,H,1.289,7/10/2018
RT,RT3,H,1.097,7/10/2018
RT,RT3,H,1.486,7/10/2018
RT,RT3,H,0.876,7/10/2018
RT,RT3,H,1.304,7/10/2018
RT,RT3,H,2.091,7/10/2018
RT,RT3,H,1.512,7/10/2018
RT,RT3,H,0.835,7/10/2018
RT,RT3,H,1.177,7/10/2018
RT,RT3,H,1.304,7/10/2018
RT,RT3,H,1.752,7/10/2018
RT,RT3,H,2.025,7/10/2018
RT,RT3,H,1.976,7/10/2018
RT,RT3,H,2.592,7/10/2018
RT,RT3,H,1.168,7/10/2018
RT,RT3,H,1.564,7/10/2018
RT,RT3,H,2.21,7/10/2018
RT,RT3,H,1.221,7/10/2018
RT,RT3,H,1.575,7/10/2018
RT,RT3,H,1.102,7/10/2018
RT,RT3,H,0.96,7/10/2018
RT,RT3,H,1.548,7/10/2018
RT,RT3,H,1.828,7/10/2018
RT,RT3,H,1.114,7/10/2018
RT,RT3,H,0.889,7/10/2018
RT,RT3,H,1.588,7/10/2018
RT,RT3,H,1.398,7/10/2018
RT,RT3,H,1.702,7/10/2018
RT,RT3,H,1.663,7/10/2018
RT,RT3,H,1.58,7/10/2018
RT,RT3,H,2.393,7/10/2018
RT,RT3,H,2.008,7/10/2018
RT,RT3,H,1.719,7/10/2018
RT,RT3,H,1.925,7/10/2018
RT,RT3,H,1.418,7/10/2018
RT,RT3,H,0.979,7/10/2018
RT,RT3,H,1.23,7/10/2018
RT,RT3,H,1.025,7/10/2018
RT,RT3,H,1.768,7/10/2018
RT,RT3,H,1.025,7/10/2018
RT,RT3,H,1.287,7/10/2018
RT,RT3,H,1.649,7/10/2018
RT,RT3,H,1.091,7/10/2018
RT,RT3,H,0.81,7/10/2018
RT,RT3,H,1.013,7/10/2018
RT,RT3,H,1.993,7/10/2018
RT,RT3,H,1.959,7/10/2018
RT,RT3,H,1.297,7/10/2018
RT,RT3,H,1.069,7/10/2018
RT,RT3,H,1.858,7/10/2018
RT,RT3,H,0.866,7/10/2018
RT,RT3,H,1.056,7/10/2018
RT,RT3,H,1.322,7/10/2018
RT,RT3,H,1.271,7/10/2018
RT,RT3,H,1.559,7/10/2018
RT,RT3,H,1.542,7/10/2018
RT,RT3,H,1.181,7/10/2018
RT,RT3,H,1.358,7/10/2018
RT,RT3,H,1.256,7/10/2018
RT,RT3,H,1.49,7/10/2018
RT,RT3,H,1.382,7/10/2018
RT,RT3,H,0.852,7/10/2018
RT,RT3,H,0.462,7/10/2018
RT,RT3,H,1.525,7/10/2018
RT,RT3,H,1.003,7/10/2018
RT,RT3,H,0.82,7/10/2018
RT,RT3,H,1.137,7/10/2018
RT,RT3,H,1.354,7/10/2018
RT,RT3,H,1.054,7/10/2018
RT,RT3,H,1.24,7/10/2018
RT,RT3,H,0.778,7/10/2018
RT,RT3,H,1.106,7/10/2018
RT,RT3,H,1.045,7/10/2018
RT,RT3,H,0.91,7/10/2018
RT,RT3,H,1.192,7/10/2018
RT,RT3,H,0.67,7/10/2018
RT,RT3,H,0.979,7/10/2018
RT,RT3,H,0.963,7/10/2018
RT,RT3,H,1.033,7/10/2018
RT,RT3,H,0.935,7/10/2018
RT,RT3,H,0.799,7/10/2018
RT,RT3,H,1.376,7/10/2018
RT,RT3,H,1.563,7/10/2018
RT,RT3,H,1.385,7/10/2018
RT,RT3,H,1.382,7/10/2018
RT,RT3,H,1.596,7/10/2018
RT,RT3,H,1.221,7/10/2018
RT,RT3,H,0.946,7/10/2018
RT,RT3,H,1.379,7/10/2018
RT,RT3,H,1.013,7/10/2018
RT,RT3,H,1.327,7/10/2018
RT,RT3,H,1.123,7/10/2018
RT,RT3,H,1.418,7/10/2018
RT,RT3,H,1.076,7/10/2018
RT,RT3,H,0.687,7/10/2018
RT,RT3,H,1.35,7/10/2018
RT,RT3,H,1.752,7/10/2018
RT,RT3,H,1.574,7/10/2018
RT,RT3,H,0.892,7/10/2018
RT,RT3,H,2.296,7/10/2018
RT,RT3,H,2.043,7/10/2018
RT,RT3,H,1.218,7/10/2018
RT,RT3,H,1.342,7/10/2018
RT,RT3,H,1.102,7/10/2018
RT,RT3,H,1.808,7/10/2018
RT,RT3,H,1.292,7/10/2018
RT,RT3,H,1.531,7/10/2018
RT,RT3,H,1.522,7/10/2018
RT,RT3,H,2.478,7/10/2018
RT,RT3,H,1.337,7/10/2018
RT,RT3,L,2.512,7/10/2018
RT,RT3,L,1.824,7/10/2018
RT,RT3,L,1.088,7/10/2018
RT,RT3,L,1.163,7/10/2018
RT,RT3,L,1.434,7/10/2018
RT,RT3,L,1.354,7/10/2018
RT,RT3,L,1.563,7/10/2018
RT,RT3,L,1.354,7/10/2018
RT,RT3,L,1.304,7/10/2018
RT,RT3,L,0.812,7/10/2018
RT,RT3,L,1.269,7/10/2018
RT,RT3,L,1.127,7/10/2018
RT,RT3,L,2.009,7/10/2018
RT,RT3,L,1.34,7/10/2018
RT,RT3,L,1.412,7/10/2018
RT,RT3,L,1.211,7/10/2018
RT,RT3,L,0.946,7/10/2018
RT,RT3,L,1.604,7/10/2018
RT,RT3,L,1.256,7/10/2018
RT,RT3,L,1.04,7/10/2018
RT,RT3,L,1.04,7/10/2018
RT,RT3,L,1.142,7/10/2018
RT,RT3,L,1.034,7/10/2018
RT,RT3,L,1.029,7/10/2018
RT,RT3,L,1.278,7/10/2018
RT,RT3,L,0.994,7/10/2018
RT,RT3,L,1.434,7/10/2018
RT,RT3,L,1.202,7/10/2018
RT,RT3,L,1.235,7/10/2018
RT,RT3,L,1.202,7/10/2018
RT,RT3,L,1.421,7/10/2018
RT,RT3,L,0.825,7/10/2018
RT,RT3,L,1.088,7/10/2018
RT,RT3,L,1.632,7/10/2018
RT,RT3,L,1.083,7/10/2018
RT,RT3,L,1.263,7/10/2018
RT,RT3,L,1.624,7/10/2018
RT,RT3,L,1.068,7/10/2018
RT,RT3,L,1.551,7/10/2018
RT,RT3,L,0.92,7/10/2018
RT,RT3,L,1.311,7/10/2018
RT,RT3,L,0.969,7/10/2018
RT,RT3,L,1.301,7/10/2018
RT,RT3,L,1.151,7/10/2018
RT,RT3,L,0.799,7/10/2018
RT,RT3,L,1.096,7/10/2018
RT,RT3,L,1.397,7/10/2018
RT,RT3,L,1.397,7/10/2018
RT,RT3,L,1.256,7/10/2018
RT,RT3,L,1.682,7/10/2018
RT,RT3,L,1.192,7/10/2018
RT,RT3,L,1.029,7/10/2018
RT,RT3,L,1.919,7/10/2018
RT,RT3,L,1.445,7/10/2018
RT,RT3,L,1.127,7/10/2018
RT,RT3,L,1.284,7/10/2018
RT,RT3,L,1.304,7/10/2018
RT,RT3,L,1.479,7/10/2018
RT,RT3,L,1.478,7/10/2018
RT,RT3,L,1.236,7/10/2018
RT,RT3,L,1.367,7/10/2018
RT,RT3,L,1.147,7/10/2018
RT,RT3,L,1.559,7/10/2018
RT,RT3,L,1.269,7/10/2018
RT,RT3,L,1.188,7/10/2018
RT,RT3,L,1.517,7/10/2018
RT,RT3,L,1.096,7/10/2018
RT,RT3,L,1.487,7/10/2018
RT,RT3,L,1.43,7/10/2018
RT,RT3,L,1.923,7/10/2018
RT,RT3,L,1.505,7/10/2018
RT,RT3,L,1.712,7/10/2018
RT,RT3,L,1.551,7/10/2018
RT,RT3,L,1.363,7/10/2018
RT,RT3,L,1.25,7/10/2018
RT,RT3,L,1.183,7/10/2018
RT,RT3,L,1.49,7/10/2018
RT,RT3,L,1.192,7/10/2018
RT,RT3,L,1.075,7/10/2018
RT,RT3,L,1.615,7/10/2018
RT,RT3,L,1.754,7/10/2018
RT,RT3,L,1.284,7/10/2018
RT,RT3,L,1.247,7/10/2018
RT,RT3,L,1.914,7/10/2018
RT,RT3,L,1.412,7/10/2018
RT,RT3,L,1.188,7/10/2018
RT,RT3,L,1.332,7/10/2018
RT,RT3,L,1.051,7/10/2018
RT,RT3,L,1.774,7/10/2018
RT,RT3,L,1.637,7/10/2018
RT,RT3,L,1.189,7/10/2018
RT,RT3,L,1.421,7/10/2018
RT,RT3,L,1.579,7/10/2018
RT,RT3,L,1.734,7/10/2018
RT,RT3,L,1.531,7/10/2018
RT,RT3,L,1.529,7/10/2018
RT,RT3,L,1.624,7/10/2018
RT,RT3,L,1.445,7/10/2018
RT,RT3,L,1.539,7/10/2018
RT,RT3,L,1.734,7/10/2018
RT,RT3,L,1.8,7/10/2018
RT,RT3,L,1.733,7/10/2018
RT,RT3,L,1.657,7/10/2018
RT,RT3,L,1.455,7/10/2018
RT,RT3,L,1.424,7/10/2018
RT,RT3,L,1.672,7/10/2018
RT,RT3,L,1.235,7/10/2018
RT,RT3,L,1.574,7/10/2018
RT,RT3,M,1.798,7/10/2018
RT,RT3,M,2.377,7/10/2018
RT,RT3,M,1.07,7/10/2018
RT,RT3,M,2.075,7/10/2018
RT,RT3,M,1.799,7/10/2018
RT,RT3,M,1.856,7/10/2018
RT,RT3,M,1.788,7/10/2018
RT,RT3,M,1.944,7/10/2018
RT,RT3,M,1.161,7/10/2018
RT,RT3,M,1.494,7/10/2018
RT,RT3,M,1.409,7/10/2018
RT,RT3,M,1.478,7/10/2018
RT,RT3,M,1.542,7/10/2018
RT,RT3,M,1.706,7/10/2018
RT,RT3,M,1.14,7/10/2018
RT,RT3,M,1.955,7/10/2018
RT,RT3,M,1.47,7/10/2018
RT,RT3,M,1.452,7/10/2018
RT,RT3,M,1.758,7/10/2018
RT,RT3,M,1.225,7/10/2018
RT,RT3,M,1.887,7/10/2018
RT,RT3,M,1.498,7/10/2018
RT,RT3,M,1.508,7/10/2018
RT,RT3,M,1.568,7/10/2018
RT,RT3,M,1.17,7/10/2018
RT,RT3,M,1.659,7/10/2018
RT,RT3,M,1.766,7/10/2018
RT,RT3,M,1.579,7/10/2018
RT,RT3,M,1.921,7/10/2018
RT,RT3,M,1.367,7/10/2018
RT,RT3,M,1.201,7/10/2018
RT,RT3,M,1.49,7/10/2018
RT,RT3,M,0.805,7/10/2018
RT,RT3,M,1.434,7/10/2018
RT,RT3,M,1.75,7/10/2018
RT,RT3,M,2.094,7/10/2018
RT,RT3,M,1.297,7/10/2018
RT,RT3,M,1.934,7/10/2018
RT,RT3,M,2.036,7/10/2018
RT,RT3,M,1.543,7/10/2018
RT,RT3,M,1.856,7/10/2018
RT,RT3,M,1.298,7/10/2018
RT,RT3,M,1.531,7/10/2018
RT,RT3,M,1.983,7/10/2018
RT,RT3,M,1.854,7/10/2018
RT,RT3,M,1.312,7/10/2018
RT,RT3,M,0.911,7/10/2018
RT,RT3,M,1.264,7/10/2018
RT,RT3,M,1.732,7/10/2018
RT,RT3,M,2.055,7/10/2018
RT,RT3,M,1.692,7/10/2018
RT,RT3,M,1.773,7/10/2018
RT,RT3,M,1.495,7/10/2018
RT,RT3,M,1.589,7/10/2018
RT,RT3,M,1.518,7/10/2018
RT,RT3,M,1.321,7/10/2018
RT,RT3,M,1.251,7/10/2018
RT,RT3,M,1.604,7/10/2018
RT,RT3,M,1.338,7/10/2018
RT,RT3,M,1.49,7/10/2018
RT,RT3,M,1.329,7/10/2018
RT,RT3,M,1.663,7/10/2018
RT,RT3,M,1.567,7/10/2018
RT,RT3,M,1.935,7/10/2018
RT,RT3,M,1.887,7/10/2018
RT,RT3,M,1.173,7/10/2018
RT,RT3,M,1.211,7/10/2018
RT,RT3,M,1.714,7/10/2018
RT,RT3,M,0.908,7/10/2018
RT,RT3,M,1.119,7/10/2018
RT,RT3,M,1.398,7/10/2018
RT,RT3,M,1.55,7/10/2018
RT,RT3,M,1.01,7/10/2018
RT,RT3,M,1.287,7/10/2018
RT,RT3,M,1.235,7/10/2018
RT,RT3,M,1.315,7/10/2018
RT,RT3,M,1.446,7/10/2018
RT,RT3,M,1.57,7/10/2018
RT,RT3,M,1.414,7/10/2018
RT,RT3,M,1.853,7/10/2018
RT,RT3,M,1.391,7/10/2018
RT,RT3,M,1.374,7/10/2018
RT,RT3,M,1.24,7/10/2018
RT,RT3,M,0.166,7/10/2018
RT,RT3,M,1.217,7/10/2018
RT,RT3,M,1.232,7/10/2018
RT,RT3,M,0.927,7/10/2018
RT,RT3,M,1.196,7/10/2018
RT,RT3,M,1.878,7/10/2018
RT,RT3,M,1.418,7/10/2018
RT,RT3,M,1.184,7/10/2018
RT,RT3,M,2.171,7/10/2018
RT,RT3,M,1.485,7/10/2018
RT,RT3,M,1.498,7/10/2018
RT,RT3,M,1.17,7/10/2018
RT,RT3,M,1.111,7/10/2018
RT,RT3,M,1.466,7/10/2018
RT,RT3,M,1.635,7/10/2018
RT,RT3,M,1.466,7/10/2018
RT,RT3,M,1.579,7/10/2018
RT,RT3,M,1.409,7/10/2018
RT,RT3,M,1.675,7/10/2018
RT,RT3,M,1.291,7/10/2018
RT,RT3,M,1.566,7/10/2018
RT,RT3,M,2.004,7/10/2018
RT,RT3,M,1.579,7/10/2018
RT,RT3,M,1.466,7/10/2018
RT,RT3,M,1.826,7/10/2018
RT,RT3,M,1.129,7/10/2018
RT,RT3,M,1.334,7/10/2018
RT,RT3,M,1.686,7/10/2018
RT,RT3,M,2.207,7/10/2018
RT,RT3,M,2.056,7/10/2018
RT,RT3,M,1.794,7/10/2018
RT,RT3,M,2.164,7/10/2018
RT,RT3,M,1.493,7/10/2018
RT,RT3,M,1.778,7/10/2018
RT,RT3,M,1.516,7/10/2018
RT,RT3,M,2.051,7/10/2018
RT,RT3,M,1.192,7/10/2018
RT,RT3,M,1.451,7/10/2018
RT,RT3,M,1.235,7/10/2018
